dim,name,name_zh,kind,stars,can_sihua,description
21,solo_peach,桃花,solo,RPH|HJO|dRP|dHJ|sRP|sHJ|yRP|yHJ,0,紅鸞天喜・桃花・八星共用維（含大限/小限/流年鸞喜，同組疊加；本命盤亦佔維；前名：桃花勢）
22,major_pol_fo,排序力·化祿,channel,POL,0,排序力的化祿通道（通道值 = E × k_FO）
23,major_pol_pw,排序力·化權,channel,POL,0,排序力的化權通道（通道值 = E × k_PW）
24,major_pol_ho,排序力·化科,channel,POL,0,排序力的化科通道（通道值 = E × k_HO）
25,major_pol_bi,排序力·化忌,channel,POL,0,排序力的化忌通道（通道值 = E × k_BI）
26,major_hpi_fo,運算力·化祿,channel,HPI,0,運算力的化祿通道（通道值 = E × k_FO）
27,major_hpi_pw,運算力·化權,channel,HPI,0,運算力的化權通道（通道值 = E × k_PW）
28,major_hpi_ho,運算力·化科,channel,HPI,0,運算力的化科通道（通道值 = E × k_HO）
29,major_hpi_bi,運算力·化忌,channel,HPI,0,運算力的化忌通道（通道值 = E × k_BI）
30,major_sun_fo,作用力·化祿,channel,SUN,0,作用力的化祿通道（通道值 = E × k_FO）
31,major_sun_pw,作用力·化權,channel,SUN,0,作用力的化權通道（通道值 = E × k_PW）
32,major_sun_ho,作用力·化科,channel,SUN,0,作用力的化科通道（通道值 = E × k_HO）
33,major_sun_bi,作用力·化忌,channel,SUN,0,作用力的化忌通道（通道值 = E × k_BI）
34,major_mar_fo,兌換力·化祿,channel,MAR,0,兌換力的化祿通道（通道值 = E × k_FO）
35,major_mar_pw,兌換力·化權,channel,MAR,0,兌換力的化權通道（通道值 = E × k_PW）
36,major_mar_ho,兌換力·化科,channel,MAR,0,兌換力的化科通道（通道值 = E × k_HO）
37,major_mar_bi,兌換力·化忌,channel,MAR,0,兌換力的化忌通道（通道值 = E × k_BI）
38,major_har_fo,分享力·化祿,channel,HAR,0,分享力的化祿通道（通道值 = E × k_FO）
39,major_har_pw,分享力·化權,channel,HAR,0,分享力的化權通道（通道值 = E × k_PW）
40,major_har_ho,分享力·化科,channel,HAR,0,分享力的化科通道（通道值 = E × k_HO）
41,major_har_bi,分享力·化忌,channel,HAR,0,分享力的化忌通道（通道值 = E × k_BI）
42,major_mag_fo,掌控力·化祿,channel,MAG,0,掌控力的化祿通道（通道值 = E × k_FO）
43,major_mag_pw,掌控力·化權,channel,MAG,0,掌控力的化權通道（通道值 = E × k_PW）
44,major_mag_ho,掌控力·化科,channel,MAG,0,掌控力的化科通道（通道值 = E × k_HO）
45,major_mag_bi,掌控力·化忌,channel,MAG,0,掌控力的化忌通道（通道值 = E × k_BI）
46,major_tre_fo,承載力·化祿,channel,TRE,0,承載力的化祿通道（通道值 = E × k_FO）
47,major_tre_pw,承載力·化權,channel,TRE,0,承載力的化權通道（通道值 = E × k_PW）
48,major_tre_ho,承載力·化科,channel,TRE,0,承載力的化科通道（通道值 = E × k_HO）
49,major_tre_bi,承載力·化忌,channel,TRE,0,承載力的化忌通道（通道值 = E × k_BI）
50,major_moo_fo,涵養力·化祿,channel,MOO,0,涵養力的化祿通道（通道值 = E × k_FO）
51,major_moo_pw,涵養力·化權,channel,MOO,0,涵養力的化權通道（通道值 = E × k_PW）
52,major_moo_ho,涵養力·化科,channel,MOO,0,涵養力的化科通道（通道值 = E × k_HO）
53,major_moo_bi,涵養力·化忌,channel,MOO,0,涵養力的化忌通道（通道值 = E × k_BI）
54,major_awo_fo,擴張力·化祿,channel,AWO,0,擴張力的化祿通道（通道值 = E × k_FO）
55,major_awo_pw,擴張力·化權,channel,AWO,0,擴張力的化權通道（通道值 = E × k_PW）
56,major_awo_ho,擴張力·化科,channel,AWO,0,擴張力的化科通道（通道值 = E × k_HO）
57,major_awo_bi,擴張力·化忌,channel,AWO,0,擴張力的化忌通道（通道值 = E × k_BI）
58,major_gga_fo,分界力·化祿,channel,GGA,0,分界力的化祿通道（通道值 = E × k_FO）
59,major_gga_pw,分界力·化權,channel,GGA,0,分界力的化權通道（通道值 = E × k_PW）
60,major_gga_ho,分界力·化科,channel,GGA,0,分界力的化科通道（通道值 = E × k_HO）
61,major_gga_bi,分界力·化忌,channel,GGA,0,分界力的化忌通道（通道值 = E × k_BI）
62,major_min_fo,授權力·化祿,channel,MIN,0,授權力的化祿通道（通道值 = E × k_FO）
63,major_min_pw,授權力·化權,channel,MIN,0,授權力的化權通道（通道值 = E × k_PW）
64,major_min_ho,授權力·化科,channel,MIN,0,授權力的化科通道（通道值 = E × k_HO）
65,major_min_bi,授權力·化忌,channel,MIN,0,授權力的化忌通道（通道值 = E × k_BI）
66,major_ble_fo,系統力·化祿,channel,BLE,0,系統力的化祿通道（通道值 = E × k_FO）
67,major_ble_pw,系統力·化權,channel,BLE,0,系統力的化權通道（通道值 = E × k_PW）
68,major_ble_ho,系統力·化科,channel,BLE,0,系統力的化科通道（通道值 = E × k_HO）
69,major_ble_bi,系統力·化忌,channel,BLE,0,系統力的化忌通道（通道值 = E × k_BI）
70,major_van_fo,決斷力·化祿,channel,VAN,0,決斷力的化祿通道（通道值 = E × k_FO）
71,major_van_pw,決斷力·化權,channel,VAN,0,決斷力的化權通道（通道值 = E × k_PW）
72,major_van_ho,決斷力·化科,channel,VAN,0,決斷力的化科通道（通道值 = E × k_HO）
73,major_van_bi,決斷力·化忌,channel,VAN,0,決斷力的化忌通道（通道值 = E × k_BI）
74,major_bre_fo,重生力·化祿,channel,BRE,0,重生力的化祿通道（通道值 = E × k_FO）
75,major_bre_pw,重生力·化權,channel,BRE,0,重生力的化權通道（通道值 = E × k_PW）
76,major_bre_ho,重生力·化科,channel,BRE,0,重生力的化科通道（通道值 = E × k_HO）
77,major_bre_bi,重生力·化忌,channel,BRE,0,重生力的化忌通道（通道值 = E × k_BI）
78,pair_lr_fo,左右·化祿,channel,LHA|RHA,0,左右的化祿通道（通道值 = E × k_FO）
79,pair_lr_pw,左右·化權,channel,LHA|RHA,0,左右的化權通道（通道值 = E × k_PW）
80,pair_lr_ho,左右·化科,channel,LHA|RHA,0,左右的化科通道（通道值 = E × k_HO）
81,pair_lr_bi,左右·化忌,channel,LHA|RHA,0,左右的化忌通道（通道值 = E × k_BI）
82,pair_cc_fo,昌曲·化祿,channel,AAC|AAR,0,昌曲的化祿通道（通道值 = E × k_FO）
83,pair_cc_pw,昌曲·化權,channel,AAC|AAR,0,昌曲的化權通道（通道值 = E × k_PW）
84,pair_cc_ho,昌曲·化科,channel,AAC|AAR,0,昌曲的化科通道（通道值 = E × k_HO）
85,pair_cc_bi,昌曲·化忌,channel,AAC|AAR,0,昌曲的化忌通道（通道值 = E × k_BI）
